Date : 2024-02-29 22:24:48
Directory : /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres
Total : 57 files,  7530 codes, 62 comments, 246 blanks, all 7838 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/components/HomePage/page.jsx                              | JavaScript JSX |         45 |          1 |          8 |         54 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/components/IntroVideo.jsx                                 | JavaScript JSX |         19 |          0 |          5 |         24 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/components/Navbar.css                                     | CSS            |         11 |          0 |          3 |         14 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/components/Navbar.jsx                                     | JavaScript JSX |         90 |         21 |          9 |        120 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/components/education/backend/page.jsx                     | JavaScript JSX |          0 |          0 |          1 |          1 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/components/education/blockchain/page.jsx                  | JavaScript JSX |         26 |          2 |          4 |         32 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/components/education/ml/page.jsx                          | JavaScript JSX |          0 |          0 |          1 |          1 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/components/smoothTransition/PageTransition.jsx            | JavaScript JSX |         33 |          1 |          6 |         40 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/icons/icon.jsx                                            | JavaScript JSX |          4 |          1 |          4 |          9 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/index.css                                                 | CSS            |          6 |          0 |          2 |          8 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/main.jsx                                                  | JavaScript JSX |          9 |          0 |          3 |         12 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/ArchitectureDesign/page.jsx                      | JavaScript JSX |         39 |          0 |          6 |         45 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/backend/API/App.module.css                       | CSS            |          0 |          0 |          1 |          1 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/backend/API/page.jsx                             | JavaScript JSX |         64 |          2 |         12 |         78 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/backend/library-development/App.module.css       | CSS            |          0 |          0 |          1 |          1 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/backend/library-development/page.jsx             | JavaScript JSX |         55 |          0 |          8 |         63 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/backend/security-solutions/app.css               | CSS            |          0 |          0 |          1 |          1 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/backend/security-solutions/page.jsx              | JavaScript JSX |         46 |          2 |          7 |         55 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/DeFi/App.module.css                   | CSS            |          0 |          0 |          1 |          1 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/DeFi/page.jsx                         | JavaScript JSX |         50 |          0 |          8 |         58 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/blockchain-integration/App.module.css | CSS            |         16 |          4 |          4 |         24 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/blockchain-integration/page.jsx       | JavaScript JSX |         93 |          2 |         13 |        108 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/blockchain-security/App.module.css    | CSS            |          0 |          0 |          1 |          1 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/blockchain-security/page.jsx          | JavaScript JSX |         46 |          0 |          7 |         53 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/decentralizedIdentity/app.css         | CSS            |          0 |          0 |          1 |          1 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/decentralizedIdentity/page.jsx        | JavaScript JSX |         48 |          1 |          6 |         55 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/smart-contract/App.module.css         | CSS            |          7 |          4 |          0 |         11 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/smart-contract/page.jsx               | JavaScript JSX |         59 |          1 |         11 |         71 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/token-development/page.jsx            | JavaScript JSX |         45 |          1 |          7 |         53 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/cloud/aws/App.module.css                         | CSS            |         38 |          0 |          7 |         45 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/cloud/aws/page.jsx                               | JavaScript JSX |         49 |          0 |          9 |         58 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/cryptography/FHE/App.module.css                  | CSS            |          0 |          0 |          1 |          1 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/cryptography/FHE/page.jsx                        | JavaScript JSX |         53 |          1 |          7 |         61 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/cryptography/RSA/App.module.css                  | CSS            |          0 |          0 |          1 |          1 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/cryptography/RSA/page.jsx                        | JavaScript JSX |         72 |          8 |         11 |         91 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/cryptography/ZKP/App.module.css                  | CSS            |          0 |          0 |          1 |          1 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/cryptography/ZKP/page.jsx                        | JavaScript JSX |         54 |          5 |          9 |         68 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/page.jsx                                         | JavaScript JSX |          6 |          0 |          2 |          8 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/tailwind.config.js                                            | JavaScript     |          9 |          0 |          1 |         10 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/vite.config.js                                                | JavaScript     |          5 |          1 |          2 |          8 |
| Total                                                                                                               |                |      7,530 |         62 |        246 |      7,838 |
+---------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
